city,type,name,budget,text
Paris,hotel,Hotel Le Marais Boutique,mid,"City: Paris | Type: hotel | Name: Hotel Le Marais Boutique | Budget level: mid | Review: Perfect location in Le Marais district. Clean rooms, friendly staff. €120/night including breakfast. Walking distance to Centre Pompidou and Place des Vosges. Highly recommended for couples."
Paris,hotel,Ibis Paris Gare de Lyon,budget,"City: Paris | Type: hotel | Name: Ibis Paris Gare de Lyon | Budget level: budget | Review: Great budget option near Gare de Lyon. €70/night, simple but clean. Metro access is excellent. Good for solo travelers on a tight budget."
Paris,hotel,Hotel de Crillon,luxury,"City: Paris | Type: hotel | Name: Hotel de Crillon | Budget level: luxury | Review: Magnificent 5-star palace hotel on Place de la Concorde. €800/night. Impeccable service, stunning views of the Champs-Élysées. Worth every euro for a special occasion."
Paris,hotel,Generator Paris Hostel,budget,"City: Paris | Type: hotel | Name: Generator Paris Hostel | Budget level: budget | Review: Best hostel in Paris near Canal Saint-Martin. Dorm beds from €25/night. Great social atmosphere, perfect for solo backpackers. Clean facilities, rooftop bar with Paris views."
Paris,restaurant,Le Comptoir du Relais,mid,"City: Paris | Type: restaurant | Name: Le Comptoir du Relais | Budget level: mid | Review: Classic French bistro in Saint-Germain. Excellent steak frites €18, amazing French onion soup €12. Always crowded but worth the wait. Authentic Parisian experience for couples."
Paris,restaurant,Café de Flore,mid,"City: Paris | Type: restaurant | Name: Café de Flore | Budget level: mid | Review: Iconic literary café on Boulevard Saint-Germain. Croque monsieur €14, café au lait €6. Historic atmosphere, famous for Sartre and de Beauvoir. Great for people watching."
Paris,restaurant,L'As du Fallafel,budget,"City: Paris | Type: restaurant | Name: L'As du Fallafel | Budget level: budget | Review: Best falafel in Paris in the Jewish Quarter. Only €7 for a giant falafel wrap. Vegetarian friendly, huge portions. Queue moves fast. Budget travelers love this place."
Paris,restaurant,Le Jules Verne,luxury,City: Paris | Type: restaurant | Name: Le Jules Verne | Budget level: luxury | Review: Michelin-starred restaurant inside the Eiffel Tower. Tasting menu from €230. Breathtaking views of Paris. Perfect for romantic dinner proposals. Book months in advance.
Paris,restaurant,Breizh Café,mid,"City: Paris | Type: restaurant | Name: Breizh Café | Budget level: mid | Review: Outstanding Breton crêperie in Le Marais. Galettes from €12, sweet crêpes from €8. Organic ingredients, cider from Brittany. Family-friendly atmosphere with kids menu."
Paris,attraction,Eiffel Tower,all,"City: Paris | Type: attraction | Name: Eiffel Tower | Budget level: all | Review: Must-see iconic landmark. Summit ticket €29.40, second floor €18.10. Go at sunset for magical views. Book online in advance to skip queues. Romantic for couples."
Paris,attraction,Louvre Museum,all,"City: Paris | Type: attraction | Name: Louvre Museum | Budget level: all | Review: World's largest art museum. Ticket €17, free under 18. See Mona Lisa, Venus de Milo, Winged Victory. Arrive early, allow 3-4 hours minimum. Family-friendly audio guides available."
Paris,attraction,Musée d'Orsay,all,"City: Paris | Type: attraction | Name: Musée d'Orsay | Budget level: all | Review: Impressionist masterpieces in a stunning former railway station. Ticket €16. Monet, Renoir, Van Gogh collections are world-class. Less crowded than Louvre. Perfect for art lovers."
Paris,attraction,Montmartre & Sacré-Cœur,budget,"City: Paris | Type: attraction | Name: Montmartre & Sacré-Cœur | Budget level: budget | Review: Free to visit the basilica, beautiful hilltop neighborhood. Street artists in Place du Tertre. Amazing panoramic views of Paris. Best explored on foot, romantic at sunset."
Paris,attraction,Palace of Versailles,mid,City: Paris | Type: attraction | Name: Palace of Versailles | Budget level: mid | Review: Stunning royal palace 30 min from Paris. Passport €21.50. Gardens free on weekdays. Allow full day. Hall of Mirrors is breathtaking. Book early morning to avoid crowds.
